Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognornal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
41,614,580.3521337,579.7304646,582.8358234,589.3430875,571.1751733,,281.6292023,281.6292023,385.1495404,846.3037832,345.5554119
42,554,552.4935201,551.7507268,554.9159711,561.1577954,542.82339,,268.5556904,268.5556904,357.2471379,806.9500363,300.4208857
43,560,526.5636068,525.714608,528.9265547,534.9170051,516.4718861,,256.3756672,256.3756672,331.8068502,770.0550068,261.1815803
44,545,502.3897124,501.447724,504.694893,510.4471646,491.9395099,,245.0093633,245.0093633,308.5723155,735.419736,227.0674948
45,489,479.8179717,478.7947163,482.0671086,487.5935805,469.0649872,,234.3857271,234.3857271,287.3179126,702.865179,197.4092014
46,467,458.7109349,457.6168235,460.9057299,466.2180185,447.7043757,,224.4413059,224.4413059,267.8445956,672.2298339,171.6247093
47,391,438.9455166,437.7898053,441.087642,446.1966506,427.7288886,,215.1192894,215.1192894,249.9763575,643.3676978,149.2080442
48,346,420.4112361,419.2021627,422.5023293,427.4182956,409.0230308,,206.3686928,206.3686928,233.5572167,616.1464967,129.7193193
49,369,403.0087047,401.7536073,405.0503637,409.7829044,391.4829951,,198.1436529,198.1436529,218.4486425,590.4461498,112.7761032
50,400,386.6483189,385.3537398,388.6420999,393.2002522,375.0152791,,190.402823,190.402823,204.5273497,566.1574315,98.04591577
51,324,371.2491309,369.9209069,373.1965459,377.5888064,359.5354887,,183.1088488,183.1088488,191.6834021,543.180804,85.23970351
52,344,356.7378668,355.3812086,358.6403823,362.8747437,344.9672998,,176.2279143,176.2279143,179.8185798,521.425394,74.10616747
53,404,343.0480724,341.6676342,344.9071092,348.9910938,331.2415551,,169.7293468,169.7293468,168.8449681,500.8080952,64.426832
54,295,330.1193682,328.7193088,331.9363006,335.876992,318.2954759,,163.5852722,163.5852722,158.6837363,481.2527781,56.0117575
55,294,317.8967965,316.4808335,319.6729531,323.4770255,306.0719732,,157.7703143,157.7703143,149.2640765,462.6895925,48.69581323
56,253,306.3302497,304.9017066,308.0669136,311.7406587,294.5190433,,152.2613302,152.2613302,140.5222817,445.0543507,42.33543691
57,261,295.3739666,293.9358152,297.0723762,300.621729,283.5892371,,147.0371785,147.0371785,132.400941,428.2879818,36.80581758
58,264,284.9860897,283.540987,286.6474397,290.0780016,273.2391924,,142.0785151,142.0785151,124.8482365,412.336045,31.99844637
59,224,275.128273,273.6785943,276.7537154,280.0707761,263.429221,,137.3676127,137.3676127,117.8173281,397.1482987,27.81898726
60,224,265.7653357,264.3132037,267.355981,270.5645385,254.1229436,,132.8882011,132.8882011,111.265813,382.6783138,24.18542585
61,210,256.8649546,255.4122657,258.4218729,261.5266527,245.2869664,,128.6253256,128.6253256,105.1552507,368.8831302,21.02646003
62,189,248.3973908,246.9458379,249.9216133,252.9270854,236.890593,,124.5652216,124.5652216,99.45074533,355.7229478,18.28010075
63,217,240.3352466,238.8863399,241.8277668,244.738162,228.9055691,,120.6952024,120.6952024,94.12057579,343.1608501,15.89245565
64,218,232.6532483,231.2083338,234.1150232,236.9343484,221.3058544,,117.0035594,117.0035594,89.1358699,331.1625552,13.81667147
65,193,225.3280523,223.8883281,226.7600037,229.4920557,214.0674185,,113.479473,113.479473,84.47031525,319.6961925,12.01201468
66,236,218.3380715,216.9046024,219.7410875,222.3894657,207.1680591,,110.1129328,110.1129328,80.09990295,308.7321007,10.44307213
67,137,211.6633192,210.2370502,213.0382553,215.6063743,200.5872381,,106.8946657,106.8946657,76.00269978,298.2426455,9.079056123
68,162,205.2852697,203.8670375,206.63295,209.1240506,194.3059355,,103.816072,103.816072,72.15864562,288.2020548,7.893200302
69,141,199.186732,197.7772758,200.5079507,202.9251103,188.3065173,,100.8691672,100.8691672,68.54937276,278.5862697,6.862234375
70,163,193.3517367,191.9517077,194.6472588,196.9934014,182.5726167,,98.04653014,98.04653014,65.15804466,269.3728089,5.965927483
71,176,187.7654334,186.3754032,189.0359963,191.3139013,177.0890272,,95.34125575,95.34125575,61.96921183,260.5406457,5.186691213
72,143,182.4139982,181.0344668,183.6603127,185.8726236,171.8416056,,92.74691261,92.74691261,58.9686828,252.070096,4.509234451
73,128,177.2845503,175.9159528,178.5073015,180.6565337,166.8171848,,90.25750446,90.25750446,56.14340845,243.9427168,3.920263324
74,153,172.3650757,171.0077885,173.564924,175.6534723,162.0034945,,87.86743527,87.86743527,53.4813782,236.1412127,3.40822033
75,136,167.6443583,166.2987051,168.8219409,170.8520861,157.3890891,,85.57147766,85.57147766,50.97152672,228.6493513,2.963057545
76,150,163.1119178,161.7781744,164.267849,166.2417648,152.9632829,,83.36474401,83.36474401,48.60364988,221.4518858,2.576039446
77,120,158.7579524,157.4363512,159.8928248,161.8125835,148.7160901,,81.24266035,81.24266035,46.36832915,214.5344836,2.2395715
78,147,154.5732868,153.2640214,155.6876723,157.5552505,144.6381716,,79.20094247,79.20094247,44.25686332,207.8836613,1.947051125
79,97,150.549325,149.2525538,151.6437756,153.4610595,140.720785,,77.23557416,77.23557416,42.26120679,201.4867251,1.692738135
80,93,146.6780075,145.3938569,147.7530559,149.5218463,136.9557401,,75.34278731,75.34278731,40.37391385,195.3317157,1.471642094
81,114,142.9517712,141.6803387,144.0079317,145.7299485,133.3353575,,73.51904372,73.51904372,38.58808822,189.4073582,1.279424388
82,132,139.3635132,138.1048707,140.4012827,142.0781693,129.8524316,,71.76101848,71.76101848,36.89733725,183.7030153,1.112313089
83,74,135.9065585,134.6607541,136.9264167,138.5597441,126.5001956,,70.06558472,70.06558472,35.29573042,178.2086448,0.967028939
84,96,132.5746286,131.3416896,133.5770391,135.1683097,123.2722904,,68.42979955,68.42979955,33.77776166,172.9147599,0.840720997
85,109,129.3618141,128.1417489,130.347225,131.8978762,120.1627353,,66.85089129,66.85089129,32.33831509,167.8123931,0.730910696
86,70,126.2625493,125.0553488,127.2313934,128.742801,117.1659019,,65.32624758,65.32624758,30.97263375,162.8930621,0.635443206
87,102,123.271588,122.0772279,124.2242841,125.6977653,114.2764892,,63.85340454,63.85340454,29.67629126,158.1487393,0.552445148
88,84,120.3839821,119.2024245,121.3209349,122.7577516,111.4895015,,62.43003674,62.43003674,28.44516587,153.5718221,0.480287835
89,75,117.5950616,116.426256,118.5166628,119.9180239,108.8002274,,61.05394796,61.05394796,27.27541682,149.1551071,0.417555309
90,137,114.9004161,113.7443011,115.8070446,117.1741092,106.204221,,59.72306266,59.72306266,26.16346272,144.8917649,0.363016557
91,115,112.2958776,111.1523819,113.1878999,114.5217796,103.6972839,,58.43541812,58.43541812,25.10596178,140.7753171,0.315601353
92,85,109.777505,108.6465483,110.6552759,111.9570369,101.2754494,,57.18915711,57.18915711,24.09979377,136.799615,0.274379259
93,83,107.3415691,106.2230634,108.2054322,109.4760976,98.93496681,,55.98252121,55.98252121,23.14204342,132.9588198,0.238541366
94,108,104.9845394,103.8783899,105.8348273,107.0753795,96.67228828,,54.81384452,54.81384452,22.22998523,129.2473842,0.20738442
95,84,102.7030715,101.6091771,103.5401064,104.7514888,94.48405531,,53.68154788,53.68154788,21.36106956,125.6600351,0.18029702
96,62,100.4939955,99.41224979,101.3180896,102.5012084,92.36708707,,52.58413353,52.58413353,20.53290983,122.1917576,0.156747626
97,72,98.35430516,97.28459706,99.16576092,100.321487,90.31836925,,51.52018009,51.52018009,19.74327074,118.8377802,0.136274123
98,75,96.28114805,95.22336229,97.08025858,98.20942917,88.33504379,,50.48833794,50.48833794,18.9900575,115.5935605,0.118474755
99,90,94.27181601,93.22583383,95.05886549,96.16228565,86.41439929,,49.48732492,49.48732492,18.27130581,112.4547729,0.103000241
100,69,92.32373667,91.28943625,93.09900065,94.17744479,84.55386218,,48.51592232,48.51592232,17.58517275,109.4172956,0.089546922
101,61,90.43446534,89.41172229,91.19821105,92.25242436,82.75098838,,47.57297112,47.57297112,16.92992829,106.4771999,0.077850801
102,52,88.60167748,87.59036527,89.35416417,90.38486391,81.00345565,,46.65736854,46.65736854,16.30394753,103.6307391,0.067682363
103,75,86.82316177,85.82315207,87.56464094,88.57251773,79.30905644,,45.7680648,45.7680648,15.70570344,100.874339,0.058842069
104,43,85.0968135,84.10797657,85.82752925,86.81324823,77.66569113,,44.90406006,44.90406006,15.13376028,98.20458801,0.051156445
105,70,83.42062853,82.44283351,84.1408178,85.10501978,76.07136186,,44.06440163,44.06440163,14.5867674,95.61822902,0.044474675
106,84,81.79269761,80.82581278,82.50259041,83.44589292,74.5241667,,43.24818127,43.24818127,14.06345359,93.11215076,0.03866564
107,64,80.21120098,79.25509409,80.91102068,81.83401904,73.02229416,,42.45453278,42.45453278,13.56262179,90.68338026,0.033615349
108,70,78.67440351,77.72894192,79.36436704,80.26763525,71.56401817,,41.68262967,41.68262967,13.08314422,88.32907563,0.029224699
109,60,77.18064992,76.24570091,77.86096804,78.74505974,70.14769328,,40.93168297,40.93168297,12.62395788,86.04651924,0.025407532
110,36,75.72836052,74.80379141,76.39923799,77.26468734,68.77175025,,40.20093921,40.20093921,12.18406033,83.83311134,0.022088941
111,50,74.31602705,73.4017054,74.97766288,75.82498535,67.43469182,,39.48967854,39.48967854,11.76250581,81.68636409,0.019203806
112,32,72.94220892,72.03800268,73.59479653,74.4244897,66.13508887,,38.79721293,38.79721293,11.35840166,79.60389584,0.016695512
113,50,71.60552952,70.71130718,72.24925697,73.06180131,64.87157673,,38.12288448,38.12288448,10.97090491,77.58342588,0.014514837
114,50,70.30467294,69.42030364,70.93972309,71.73558261,63.64285173,,37.46606388,37.46606388,10.5992192,75.62276937,0.01261899
115,32,69.03838076,68.16373441,69.66493144,70.44455443,62.447668,,36.8261489,36.8261489,10.24259186,73.71983265,0.010970768
116,44,67.80544903,66.94039644,68.42367325,69.18749287,61.28483444,,36.20256304,36.20256304,9.900311215,71.87260877,0.009537827
117,25,66.60472557,65.74913848,67.21479163,67.96322655,60.15321184,,35.59475418,35.59475418,9.571704083,70.07917326,0.008292049
118,30,65.43510724,64.58885844,66.03717893,66.7706339,59.05171027,,35.00219337,35.00219337,9.256133403,68.3376802,0.007208988
119,30,64.29553749,63.45850091,64.88977423,65.60864067,57.97928651,,34.42437368,34.42437368,8.952996071,66.64635845,0.00626739
120,34,63.18500408,62.3570548,63.77156104,64.47621752,56.93494168,,33.86080909,33.86080909,8.661720896,65.00350811,0.005448778
121,31,62.10253679,61.28355113,62.68156505,63.37237784,55.91771904,,33.3110335,33.3110335,8.3817667,63.40749714,0.004737089
122,61,61.0472054,60.23706097,61.61885209,62.29617562,54.92670189,,32.7745997,32.7745997,8.112620539,61.85675825,0.004118357
123,47,60.01811774,59.21669347,60.58252615,61.24670349,53.96101156,,32.25107849,32.25107849,7.853796046,60.34978585,0.00358044
124,31,59.01441782,58.221594,59.57172754,60.22309079,53.01980555,,31.74005784,31.74005784,7.604831882,58.88513324,0.003112783
125,36,58.0352841,57.2509424,58.58563112,59.2245019,52.10227581,,31.24114202,31.24114202,7.365290282,57.46140991,0.002706208
126,32,57.07992784,56.30395136,57.62344468,58.25013448,51.207647,,30.75395087,30.75395087,7.134755702,56.07727899,0.002352739
127,58,56.14759155,55.37986483,56.68440737,57.29921795,50.335175,,30.27811905,30.27811905,6.912833549,54.73145486,0.002045437
128,25,55.23754752,54.47795654,55.76778822,56.37101199,49.48414537,,29.81329536,29.81329536,6.699148989,53.42270082,0.001778273
129,20,54.34909644,53.59752865,54.87288475,55.46480509,48.65387197,,29.35914209,29.35914209,6.493345836,52.14982697,0.001546005
130,31,53.48156606,52.7379104,53.99902167,54.57991328,47.84369564,,28.9153344,28.9153344,6.295085505,50.9116881,0.001344075
131,22,52.63430997,51.89845686,53.1455496,53.71567882,47.05298293,,28.48155974,28.48155974,6.104046037,49.70718178,0.001168519
132,34,51.80670641,51.07854777,52.31184391,52.87146903,46.28112491,,28.05751727,28.05751727,5.919921176,48.53524646,0.001015894
133,36,50.99815717,50.2775864,51.4973036,52.04667515,45.52753608,,27.64291737,27.64291737,5.742419507,47.39485974,0.000883203
134,30,50.2080865,49.49499849,50.70135022,51.24071126,44.79165326,,27.23748112,27.23748112,5.571263652,46.28503668,0.000767844
135,35,49.43594014,48.73023129,49.92342689,50.45301325,44.0729346,,26.84093986,26.84093986,5.406189502,45.20482818,0.000667553
136,33,48.68118435,47.98275252,49.16299733,49.68303791,43.37085865,,26.4530347,26.4530347,5.246945507,44.15331951,0.000580361
137,42,47.94330502,47.25204957,48.41954496,48.93026195,42.68492342,,26.0735161,26.0735161,5.093292002,43.12962885,0.000504557
138,18,47.22180679,46.53762855,47.69257206,48.19418115,42.0146455,,25.7021435,25.7021435,4.945000577,42.13290589,0.000438655
139,33,46.51621228,45.83901354,46.98159888,47.47430957,41.35955932,,25.33868492,25.33868492,4.801853481,41.16233056,0.00038136
140,35,45.82606127,45.15574576,46.28616298,46.7701787,40.71921628,,24.98291656,24.98291656,4.663643061,40.21711176,0.000331549
141,26,45.15090998,44.48738291,45.6058184,46.08133678,40.0931841,,24.63462252,24.63462252,4.530171239,39.2964862,0.000288244
142,32,44.49033041,43.83349837,44.94013499,45.40734805,39.48104606,,24.29359442,24.29359442,4.40124901,38.39971722,0.000250595
143,18,43.84390961,43.19368064,44.28869775,44.74779208,38.88240036,,23.95963109,23.95963109,4.276695981,37.52609376,0.000217864
144,16,43.21124909,42.56753264,43.6511062,44.10226315,38.29685949,,23.6325383,23.6325383,4.156339923,36.67492934,0.000189408
145,23,42.59196424,41.95467112,43.02697376,43.47036963,37.72404961,,23.31212846,23.31212846,4.04001636,35.84556102,0.000164668
146,12,41.98568369,41.35472611,42.41592719,42.85173337,37.16361,,22.99822033,22.99822033,3.927568173,35.03734852,0.00014316
147,24,41.39204884,40.76734036,41.81760604,42.2459892,36.61519251,,22.69063879,22.69063879,3.818845234,34.2496733,0.000124461
148,23,40.81071328,40.1921688,41.23166213,41.65278437,36.07846104,,22.3892146,22.3892146,3.713704052,33.4819377,0.000108205
149,27,40.24134235,39.62887808,40.65775904,41.07177804,35.55309102,,22.09378411,22.09378411,3.612007445,32.73356417,0.0000941
150,24,39.68361261,39.0771461,40.09557166,40.50264083,35.038769,,21.80418913,21.80418913,3.513624229,32.00399445,0.0000818
151,17,39.13721144,38.53666151,39.54478573,39.94505434,34.53519213,,21.52027661,21.52027661,3.41842892,31.29268882,0.0000711
152,12,38.6018366,38.00712335,39.0050974,39.39871071,34.0420678,,21.24189852,21.24189852,3.326301459,30.59912542,0.0000618
153,14,38.07719579,37.48824059,38.47621284,38.86331224,33.55911319,,20.96891163,20.96891163,3.237126946,29.92279957,0.0000537
154,19,37.56300631,36.97973175,37.95784782,38.33857095,33.08605487,,20.7011773,20.7011773,3.150795391,29.26322308,0.0000467
155,18,37.05899464,36.48132455,37.44972736,37.82420825,32.62262847,,20.43856135,20.43856135,3.067201479,28.61992367,0.0000406
156,19,36.56489612,35.99275551,36.95158537,37.31995452,32.16857833,,20.18093383,20.18093383,2.986244346,27.99244437,0.0000353
157,24,36.08045459,35.51376968,36.46316429,36.8255488,31.72365709,,19.92816892,19.92816892,2.907827368,27.38034292,0.0000307
158,13,35.60542206,35.04412024,35.98421479,36.34073847,31.28762544,,19.68014474,19.68014474,2.831857959,26.78319126,0.0000267
159,17,35.13955843,34.58356823,35.51449544,35.8652789,30.8602518,,19.43674321,19.43674321,2.758247384,26.20057498,0.0000232
160,24,34.68263117,34.13188224,35.05377242,35.39893319,30.441312,,19.1978499,19.1978499,2.686910575,25.63209283,0.0000202
161,14,34.23441502,33.68883815,34.60181923,34.94147182,30.03058899,,18.96335391,18.96335391,2.617765967,25.07735627,0.0000175
162,12,33.79469175,33.25421882,34.15841643,34.49267246,29.62787263,,18.73314774,18.73314774,2.550735328,24.53598894,0.0000152
163,10,33.3632499,32.82781387,33.72335136,34.05231962,29.23295937,,18.50712716,18.50712716,2.485743612,24.0076263,0.0000133
164,9,32.9398845,32.40941939,33.29641789,33.62020446,28.84565202,,18.28519107,18.28519107,2.42271881,23.49191514,0.0000115
165,10,32.52439686,31.99883774,32.87741622,33.1961245,28.46575954,,18.06724143,18.06724143,2.361591815,22.98851323,0.00001
166,16,32.11659432,31.59587729,32.46615259,32.77988344,28.09309679,,17.85318312,17.85318312,2.302296286,22.49708887,0.00000871
167,16,31.71629007,31.20035225,32.0624391,32.37129088,27.7274843,,17.64292385,17.64292385,2.244768527,22.0173206,0.00000757
168,13,31.3233029,30.81208238,31.66609352,31.97016215,27.36874811,,17.43637404,17.43637404,2.188947369,21.54889676,0.00000658
169,7,30.937457,30.43089288,31.27693902,31.57631809,27.01671952,,17.23344675,17.23344675,2.134774052,21.09151518,0.00000572
170,10,30.55858181,30.05661414,30.89480404,31.18958486,26.67123493,,17.03405757,17.03405757,2.082192127,20.64488286,0.00000498
171,13,30.1865118,29.68908156,30.51952208,30.80979376,26.33213566,,16.83812455,16.83812455,2.031147347,20.20871565,0.00000433
172,10,29.82108627,29.3281354,30.15093152,30.436781,25.99926775,,16.64556808,16.64556808,1.981587572,19.78273793,0.00000376
173,11,29.46214926,28.9736206,29.78887546,30.07038761,25.67248183,,16.45631085,16.45631085,1.933462678,19.36668232,0.00000327
174,10,29.1095493,28.6253866,29.43320154,29.71045921,25.3516329,,16.27027775,16.27027775,1.886724471,18.96028942,0.00000284
175,11,28.76313932,28.28328719,29.08376181,29.35684586,25.03658026,,16.08739579,16.08739579,1.8413266,18.56330751,0.00000247
176,14,28.42277644,27.94718038,28.74041255,29.00940196,24.72718728,,15.90759404,15.90759404,1.797224479,18.17549231,0.00000215
177,7,28.08832188,27.61692824,28.40301414,28.66798601,24.42332131,,15.73080357,15.73080357,1.754375215,17.79660673,0.00000187
178,8,27.75964081,27.29239677,28.07143092,28.33246056,24.12485353,,15.55695735,15.55695735,1.712737528,17.42642062,0.00000162
179,12,27.43660217,26.97345575,27.74553106,28.00269203,23.83165879,,15.38599022,15.38599022,1.672271693,17.06471055,0.00000141
180,14,27.11907861,26.65997863,27.42518643,27.67855056,23.54361556,,15.21783881,15.21783881,1.632939465,16.71125956,0.00000123
181,9,26.80694632,26.35184241,27.11027246,27.35990995,23.2606057,,15.05244149,15.05244149,1.594704022,16.36585698,0.00000107
182,25,26.50008493,26.04892749,26.80066804,27.04664748,22.98251446,,14.8897383,14.8897383,1.557529906,16.02829822,0.000000928
183,10,26.19837741,25.7511176,26.49625542,26.73864382,22.70923027,,14.72967092,14.72967092,1.521382962,15.69838455,0.000000807
184,12,25.90170991,25.45829967,26.19692006,26.4357829,22.4406447,,14.5721826,14.5721826,1.48623029,15.37592291,0.000000701
185,12,25.60997173,25.17036373,25.90255054,26.13795185,22.17665232,,14.41721809,14.41721809,1.452040188,15.06072577,0.00000061
186,16,25.32305515,24.88720279,25.6130385,25.84504083,21.91715061,,14.26472364,14.26472364,1.418782106,14.75261088,0.00000053
187,10,25.04085538,24.60871277,25.32827847,25.556943,21.66203988,,14.11464691,14.11464691,1.386426599,14.45140116,0.000000461
188,3,24.76327042,24.33479239,25.04816783,25.27355435,21.41122315,,13.96693694,13.96693694,1.354945279,14.15692451,0.000000401
189,14,24.49020104,24.0653431,24.7726067,24.9947737,21.1646061,,13.82154412,13.82154412,1.324310778,13.86901365,0.000000348
190,6,24.22155061,23.80026896,24.50149785,24.72050251,20.92209693,,13.67842013,13.67842013,1.294496701,13.58750599,0.000000303
191,17,23.95722509,23.53947659,24.23474664,24.45064488,20.68360634,,13.53751789,13.53751789,1.265477591,13.31224343,0.000000263
192,11,23.69713289,23.28287506,23.9722609,24.18510741,20.4490474,,13.39879156,13.39879156,1.23722889,13.04307229,0.000000229
193,23,23.44118484,23.03037584,23.71395088,23.92379917,20.21833551,,13.26219646,13.26219646,1.209726903,12.77984311,0.000000199
194,8,23.18929407,22.78189272,23.45972916,23.66663158,19.9913883,,13.12768905,13.12768905,1.182948766,12.52241056,0.000000173
195,10,22.941376,22.5373417,23.20951059,23.41351835,19.76812559,,12.99522692,12.99522692,1.156872411,12.27063327,0.00000015
196,6,22.6973482,22.29664099,22.96321223,23.16437544,19.54846927,,12.86476872,12.86476872,1.131476537,12.02437375,0.000000131
197,10,22.45713036,22.05971088,22.72075324,22.91912094,19.3323433,,12.73627413,12.73627413,1.106740578,11.78349825,0.000000114
198,12,22.22064424,21.82647371,22.48205485,22.67767504,19.11967361,,12.60970386,12.60970386,1.082644674,11.54787665,9.88E-08
199,7,21.98781356,21.5968538,22.24704032,22.43995996,18.91038804,,12.48501958,12.48501958,1.059169648,11.31738235,8.59E-08
200,13,21.75856401,21.37077738,22.0156348,22.20589988,18.70441628,,12.36218393,12.36218393,1.036296976,11.09189214,7.47E-08
201,10,21.5328231,21.14817255,21.78776537,21.97542089,18.50168982,,12.24116045,12.24116045,1.014008762,10.87128615,6.49E-08
202,11,21.3105202,20.92896921,21.56336089,21.74845093,18.3021419,,12.12191361,12.12191361,0.992287715,10.65544768,5.65E-08
203,13,21.09158641,20.71309902,21.34235202,21.52491973,18.10570745,,12.0044087,12.0044087,0.971117128,10.44426317,4.91E-08
204,3,20.87595456,20.50049532,21.12467114,21.30475876,17.91232305,,11.8886119,11.8886119,0.950480853,10.23762207,4.27E-08
205,10,20.66355911,20.29109311,20.91025228,21.0879012,17.72192685,,11.77449018,11.77449018,0.930363279,10.03541674,3.71E-08
206,29,20.45433616,20.084829,20.69903109,20.87428183,17.53445857,,11.66201132,11.66201132,0.910749317,9.837542397,3.23E-08
207,16,20.24822336,19.88164114,20.49094481,20.66383706,17.34985941,,11.55114385,11.55114385,0.891624376,9.643897019,0.000000028
208,16,20.04515986,19.6814692,20.28593218,20.45650484,17.16807203,,11.44185709,11.44185709,0.872974346,9.454381248,2.44E-08
209,6,19.84508632,19.48425428,20.08393345,20.25222459,16.98904049,,11.33412105,11.33412105,0.854785579,9.268898324,2.12E-08
210,8,19.64794479,19.28993895,19.88489028,20.05093724,16.81271026,,11.22790646,11.22790646,0.837044875,9.08735401,1.84E-08
211,15,19.45367874,19.09846714,19.68874574,19.85258508,16.63902809,,11.12318475,11.12318475,0.819739462,8.909656514,0.000000016
212,11,19.26223297,18.9097841,19.49544427,19.65711182,16.46794205,,11.01992801,11.01992801,0.802856985,8.73571642,1.39E-08
