Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognornal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
60,25,23.2547888,23.53438527,23.28770272,24.87126718,24.92368312,,15.34871224,16.41037136,24.40806827,38.28037557,27.61584593
61,25,22.42229717,22.68900189,22.45529231,23.94556716,23.9969852,,14.90911216,15.9935434,23.45217301,36.97611546,25.80119957
62,28,21.6309087,21.88531184,21.66394467,23.06586695,23.11627986,,14.48894737,15.59382557,22.54466323,35.7249007,24.10579422
63,23,20.87805153,21.12071502,20.91109187,22.22932045,22.27872406,,14.08706555,15.21025624,21.68252098,34.52407718,22.52179452
64,26,20.16134772,20.39280655,20.19435952,21.43329161,21.48168443,,13.70239954,14.84194197,20.86295237,33.37115508,21.04187997
65,23,19.47859624,19.69935964,19.51154982,20.67533643,20.72271936,,13.33395983,14.48805166,20.08336825,32.26379645,19.65921108
66,21,18.82775759,19.03831026,18.86062622,19.95318674,19.99956283,,12.98082785,14.14781134,19.34136681,31.19980396,18.36739783
67,23,18.20694,18.40774327,18.23969962,19.26473561,19.31010975,,12.64214988,13.82049947,18.63471791,30.17711067,17.16047005
68,24,17.61438694,17.8058799,17.64701594,18.608024,18.65240274,,12.31713158,13.50544266,17.9613488,29.19377062,16.03284989
69,19,17.04846586,17.23106641,17.08094484,17.98122876,18.02462012,,12.00503311,13.2020118,17.31933127,28.24795025,14.97932603
70,22,16.50765795,16.68176389,16.53996953,17.38265174,17.42506498,,11.70516462,12.90961856,16.70686996,27.33792055,13.99502957
71,21,15.99054892,16.1565389,16.02267758,16.81070978,16.85215529,,11.41688227,12.62771224,16.12229175,26.46204984,13.07541155
72,10,15.49582061,15.6540551,15.52775248,16.26392577,16.30441489,,11.13958452,12.35577682,15.56403611,25.61879714,12.21622194
73,17,15.02224334,15.17306553,15.0539661,15.74092036,15.78046524,,10.87270884,12.09332839,15.03064634,24.80670608,11.41348996
74,13,14.568669,14.71240569,14.60017172,15.24040448,15.279018,,10.61572867,11.83991274,14.52076152,24.02439932,10.66350577
75,19,14.13402469,14.27098711,14.16529772,14.7611725,14.79886812,,10.36815071,11.5951031,14.03310927,23.27057335,9.96280328
76,18,13.71730705,13.84779162,13.74834189,14.30209594,14.33888763,,10.12951236,11.35849825,13.56649901,22.54399371,9.308144186
77,15,13.3175769,13.44186601,13.34836613,13.86211776,13.89801992,,9.899379478,11.12972058,13.11981593,21.84349064,8.696502957
78,8,12.93395452,13.05231722,12.96449166,13.44024715,13.47527449,,9.67734428,10.90841449,12.69201536,21.16795494,8.125052875
79,24,12.5656152,12.67830789,12.59589468,13.03555467,13.06972216,,9.463023414,10.6942448,12.28211768,20.51633425,7.591152966
80,9,12.21178527,12.31905232,12.24180229,12.64716784,12.68049069,,9.256056223,10.48689537,11.88920361,19.88762954,7.092335797
81,12,11.87173835,11.97381274,11.90148888,12.27426713,12.30676069,,9.056103134,10.28606776,11.51240992,19.28089186,6.626296069
82,15,11.54479204,11.64189588,11.5742727,11.91608222,11.94776191,,8.862844188,10.09148007,11.15092547,18.69521934,6.190879966
83,8,11.23030475,11.32264989,11.25951277,11.57188856,11.60276988,,8.675977682,9.902865823,10.80398757,18.12975438,5.784075198
84,11,10.92767287,11.01546139,10.95660604,11.24100421,11.27110265,,8.495218924,9.719972953,10.4708786,17.58368111,5.404001706
85,14,10.63632816,10.71975283,10.66498478,10.92278695,10.95211801,,8.320299089,9.542562853,10.15092298,17.05622287,5.048902969
86,7,10.35573529,10.43498009,10.38411411,10.61663161,10.6452107,,8.150964157,9.370409522,9.843484275,16.54664005,4.717137887
87,13,10.08538965,10.16063015,10.11348984,10.32196754,10.34981001,,7.986973941,9.203298756,9.54796259,16.05422793,4.407173198
88,10,9.824815237,9.89621908,9.852636363,10.03825637,10.06537746,,7.828101182,9.041027406,9.263792128,15.57831474,4.117576392
89,14,9.573562823,9.641290065,9.601104786,9.764989885,9.7914047,,7.67413072,8.883402692,8.990438958,15.11825983,3.847009087
90,6,9.331208143,9.39541165,9.358471163,9.50168804,9.527411544,,7.524858722,8.730241563,8.727398929,14.67345195,3.594220849
91,7,9.097350294,9.158176094,9.124334876,9.247897173,9.272944164,,7.380091966,8.581370107,8.474195752,14.24330766,3.35804341
92,9,8.871610226,8.929197842,8.898317132,9.003188312,9.027573411,,7.239647185,8.436622998,8.230379217,13.8272698,3.137385268
93,6,8.653629346,8.708112116,8.680059573,8.767155617,8.790893253,,7.103350446,8.295842985,7.995523539,13.42480614,2.931226646
94,17,8.443068231,8.494573607,8.469222988,8.539414931,8.562519334,,6.971036586,8.158880418,7.769225829,13.03540801,2.738614775
95,10,8.239605423,8.288255259,8.26548611,8.319602437,8.342087625,,6.842548682,8.025592804,7.551104662,12.6585891,2.558659493
96,10,8.042936323,8.088847141,8.068544509,8.107373404,8.129253178,,6.717737556,7.895844392,7.340798761,12.29388427,2.390529133
97,10,7.852772147,7.896055398,7.878109559,7.902401029,7.923688968,,6.596461318,7.76950579,7.137965762,11.94084851,2.233446674
98,4,7.668838975,7.709601279,7.693907476,7.704375351,7.725084804,,6.478584942,7.646453606,6.942281069,11.59905587,2.086686155
99,9,7.490876849,7.529220225,7.515678425,7.513002247,7.53314633,,6.363979867,7.52657011,6.753436788,11.26809851,1.949569318
100,7,7.318638939,7.354661027,7.343175688,7.328002486,7.347594081,,6.252523623,7.409742922,6.571140733,10.94758582,1.821462475
101,9,7.151890771,7.185685034,7.176164888,7.149110861,7.16816261,,6.14409949,7.295864716,6.395115499,10.63714352,1.701773574
102,9,6.990409502,7.022065426,7.014423267,6.976075364,6.994599672,,6.038596171,7.18483295,6.225097594,10.33641291,1.58994947
103,4,6.833983241,6.863586519,6.857739012,6.808656427,6.826665459,,5.935907492,7.076549605,6.06083664,10.04505009,1.485473365
104,6,6.682410422,6.710043132,6.705910621,6.64662621,6.664131889,,5.835932118,6.970920944,5.90209461,9.762725212,1.38786242
105,8,6.535499213,6.561239986,6.558746321,6.489767929,6.506781939,,5.73857329,6.867857288,5.748645126,9.489121869,1.296665522
106,10,6.393066966,6.416991146,6.416063512,6.337875236,6.354409025,,5.643738576,6.767272802,5.600272804,9.223936416,1.211461202
107,8,6.254939702,6.277119495,6.277688259,6.190751638,6.206816414,,5.551339641,6.669085298,5.45677263,8.966877379,1.131855686
108,6,6.120951629,6.141456248,6.143454804,6.048209943,6.06381668,,5.461292025,6.573216044,5.317949388,8.717664891,1.057481075
109,8,5.99094469,6.009840491,6.01320512,5.910071756,5.925231194,,5.373514946,6.479589593,5.183617117,8.476030151,0.987993644
110,5,5.864768142,5.882118754,5.886788487,5.776166994,5.790889642,,5.2879311,6.388133615,5.053598603,8.241714913,0.923072256
111,5,5.742278156,5.758144605,5.764061094,5.646333436,5.660629575,,5.204466488,6.298778742,4.927724905,8.014471013,0.862416873
112,3,5.62333745,5.637778274,5.644885671,5.520416306,5.53429599,,5.123050243,6.211458419,4.805834906,7.794059904,0.805747175
113,9,5.507814935,5.520886296,5.529131141,5.398267867,5.41174093,,5.043614472,6.126108769,4.687774898,7.580252229,0.752801262
114,8,5.395585392,5.407341181,5.416672288,5.279747057,5.292823111,,4.966094107,6.042668464,4.573398185,7.372827412,0.703334443
115,5,5.286529159,5.297021101,5.307389453,5.164719136,5.177407578,,4.890426761,5.961078598,4.462564717,7.171573267,0.657118104
116,6,5.180531847,5.189809591,5.201168245,5.053055353,5.065365367,,4.816552599,5.881282573,4.355140738,6.976285629,0.613938656
117,3,5.077484065,5.085595278,5.097899268,4.944632641,4.956573203,,4.744414213,5.803225991,4.250998461,6.78676801,0.573596544
118,8,4.977281164,4.984271617,4.997477864,4.839333326,4.850913205,,4.673956499,5.726856548,4.150015761,6.60283126,0.535905326
119,5,4.879822995,4.885736647,4.899803877,4.737044847,4.748272612,,4.605126551,5.65212394,4.052075885,6.424293256,0.50069081
120,2,4.785013686,4.789892761,4.804781421,4.637659503,4.648543523,,4.537873555,5.578979769,3.957067178,6.250978598,0.467790251
121,5,4.692761424,4.696646484,4.712318669,4.541074206,4.551622657,,4.472148688,5.507377452,3.864882827,6.082718329,0.4370516
122,3,4.602978254,4.605908275,4.62232765,4.447190252,4.457411119,,4.407905024,5.437272144,3.775420617,5.91934966,0.408332795
123,4,4.515579891,4.517592327,4.534724062,4.355913107,4.365814187,,4.345097447,5.36862066,3.688582704,5.760715715,0.381501112
124,6,4.430485539,4.431616389,4.449427089,4.267152196,4.276741105,,4.28368257,5.301381393,3.6042754,5.606665281,0.356432548
125,5,4.347617721,4.347901588,4.366359233,4.180820716,4.190104889,,4.223618647,5.235514253,3.522408965,5.457052578,0.333011247
126,5,4.26690212,4.266372274,4.285446157,4.096835451,4.105822149,,4.164865508,5.170980595,3.44289742,5.311737036,0.311128968
127,2,4.188267428,4.186955858,4.206616528,4.0151166,4.02381291,,4.107384482,5.107743159,3.365658362,5.17058308,0.290684581
128,0,4.111645203,4.109582673,4.129801882,3.935587612,3.944000456,,4.051138331,5.045766008,3.290612792,5.03345993,0.271583601
129,5,4.036969733,4.034185831,4.054936482,3.858175036,3.86631117,,3.996091187,4.985014469,3.217684954,4.900241407,0.253737753
130,1,3.964177909,3.960701097,3.981957194,3.782808372,3.790674391,,3.942208491,4.925455086,3.146802183,4.77080575,0.237064561
131,4,3.893209105,3.889066766,3.910803364,3.709419934,3.717022276,,3.889456933,4.86705556,3.077894755,4.64503544,0.221486971
132,1,3.82400506,3.819223542,3.841416708,3.63794472,3.645289669,,3.837804405,4.809784709,3.010895752,4.52281703,0.206932989
133,6,3.756509774,3.751114432,3.773741196,3.568320286,3.575413976,,3.78721994,4.753612412,2.945740933,4.404040989,0.193335354
134,3,3.690669403,3.684684639,3.707722959,3.500486632,3.507335051,,3.73767367,4.698509575,2.882368608,4.288601546,0.180631224
135,1,3.62643216,3.619881462,3.643310182,3.434386087,3.44099508,,3.689136775,4.64444808,2.820719524,4.176396545,0.168761886
136,6,3.563748228,3.556654207,3.580453017,3.369963209,3.37633848,,3.641581442,4.591400751,2.760736749,4.067327305,0.157672487
137,3,3.502569665,3.494954091,3.519103498,3.307164679,3.313311796,,3.594980821,4.539341315,2.702365573,3.961298487,0.147311776
138,3,3.442850325,3.434734162,3.459215449,3.245939211,3.251863607,,3.549308984,4.488244363,2.645553404,3.858217967,0.13763187
139,4,3.384545782,3.375949214,3.400744416,3.186237459,3.191944438,,3.50454089,4.438085317,2.590249674,3.757996713,0.128588035
140,1,3.327613249,3.318555718,3.343647582,3.128011932,3.133506671,,3.460652345,4.388840399,2.536405751,3.660548667,0.120138472
141,4,3.272011509,3.262511741,3.287883703,3.071216914,3.076504466,,3.417619969,4.340486597,2.483974852,3.565790635,0.112244134
142,6,3.21770085,3.207776884,3.233413039,3.015808388,3.020893684,,3.375421165,4.293001635,2.43291196,3.473642181,0.104868535
143,2,3.164642996,3.154312211,3.180197285,2.961743957,2.96663181,,3.334034085,4.246363948,2.383173752,3.38402552,0.097977589
144,6,3.112801052,3.102080192,3.128199517,2.908982782,2.91367789,,3.293437602,4.200552649,2.334718521,3.296865426,0.091539449
145,3,3.062139438,3.051044638,3.077384128,2.85748551,2.861992456,,3.253611277,4.155547508,2.287506109,3.212089132,0.085524361
146,3,3.012623841,3.001170649,3.027716775,2.807214212,2.811537473,,3.21453534,4.111328925,2.241497839,3.129626244,0.079904527
147,1,2.964221157,2.95242456,2.979164329,2.758132325,2.762276269,,3.176190656,4.067877906,2.196656454,3.049408654,0.074653975
148,6,2.916899445,2.904773886,2.931694818,2.710204593,2.714173483,,3.138558705,4.02517604,2.152946054,2.971370454,0.069748437
149,4,2.870627875,2.858187277,2.885277387,2.663397015,2.667195012,,3.101621557,3.98320548,2.110332042,2.895447859,0.065165244
150,4,2.825376685,2.812634471,2.839882246,2.617676788,2.621307954,,3.065361848,3.941948918,2.068781069,2.821579134,0.060883215
151,5,2.78111714,2.768086249,2.795480631,2.573012264,2.576480564,,3.02976276,3.901389568,2.02826098,2.749704512,0.056882558
152,2,2.737821483,2.724514392,2.75204476,2.529372897,2.532682201,,2.994808003,3.861511147,1.988740765,2.679766135,0.053144787
153,3,2.695462904,2.681891644,2.709547796,2.486729204,2.489883289,,2.960481788,3.822297855,1.950190516,2.611707976,0.049652625
154,4,2.654015497,2.640191669,2.667963807,2.445052716,2.448055271,,2.926768816,3.783734359,1.912581377,2.545475781,0.046389935
155,4,2.613454226,2.599389019,2.627267731,2.404315942,2.407170566,,2.893654254,3.745805777,1.875885502,2.481017005,0.043341637
156,2,2.573754891,2.559459096,2.587435341,2.364492328,2.367202536,,2.861123722,3.708497658,1.840076019,2.418280753,0.040493644
157,4,2.534894095,2.520378118,2.548443214,2.325556221,2.328125443,,2.829163274,3.671795974,1.805126984,2.357217721,0.037832793
158,3,2.49684921,2.482123091,2.510268699,2.28748283,2.289914416,,2.797759384,3.635687097,1.771013349,2.297780141,0.035346788
159,5,2.459598353,2.444671775,2.472889886,2.250248197,2.252545417,,2.766898928,3.60015779,1.737710924,2.23992173,0.033024139
160,1,2.423120351,2.408002656,2.436285579,2.213829161,2.215995207,,2.736569173,3.565195193,1.705196344,2.183597638,0.030854111
161,0,2.387394719,2.37209492,2.400435266,2.17820333,2.180241318,,2.70675776,3.53078681,1.673447036,2.128764397,0.028826678
162,2,2.352401629,2.336928422,2.365319099,2.143349046,2.145262019,,2.677452693,3.496920493,1.642441189,2.075379879,0.026932467
163,0,2.318121892,2.302483665,2.330917861,2.109245364,2.111036294,,2.648642326,3.463584436,1.612157724,2.023403243,0.025162726
164,3,2.284536925,2.268741774,2.297212948,2.07587202,2.077543808,,2.620315348,3.430767159,1.582576265,1.972794899,0.023509275
165,1,2.251628735,2.235684471,2.264186344,2.043209406,2.044764884,,2.592460776,3.398457498,1.553677112,1.923516463,0.021964473
166,0,2.219379897,2.203294057,2.2318206,2.011238546,2.012680481,,2.56506794,3.366644597,1.525441216,1.875530714,0.02052118
167,2,2.187773528,2.171553386,2.200098811,1.979941072,1.981272164,,2.538126471,3.335317894,1.497850155,1.828801561,0.019172726
168,1,2.156793271,2.140445846,2.169004599,1.949299201,1.950522088,,2.511626298,3.304467112,1.470886108,1.783293998,0.01791288
169,2,2.126423278,2.109955344,2.138522091,1.919295713,1.920412971,,2.485557627,3.274082253,1.444531833,1.738974075,0.016735819
170,0,2.096648183,2.080066278,2.108635903,1.889913933,1.890928077,,2.459910943,3.244153586,1.418770648,1.695808859,0.015636103
171,2,2.067453095,2.050763527,2.079331121,1.861137706,1.862051193,,2.434676992,3.214671638,1.393586404,1.653766403,0.014608649
172,6,2.038823573,2.022032433,2.050593284,1.832951382,1.833766612,,2.409846775,3.185627187,1.368963474,1.612815712,0.01364871
173,2,2.010745615,1.99385878,2.022408368,1.805339797,1.806059113,,2.385411543,3.157011253,1.344886726,1.572926711,0.012751849
174,2,1.983205639,1.966228781,1.994762771,1.778288254,1.778913945,,2.361362782,3.128815091,1.321341508,1.53407022,0.011913921
175,1,1.956190468,1.939129063,1.967643297,1.751782508,1.752316808,,2.337692211,3.101030185,1.298313631,1.496217918,0.011131053
176,2,1.929687321,1.912546653,1.941037145,1.725808747,1.726253841,,2.314391773,3.073648236,1.275789351,1.459342321,0.010399628
177,2,1.903683792,1.886468962,1.914931889,1.70035358,1.700711601,,2.291453626,3.046661161,1.253755354,1.423416753,0.009716265
178,2,1.878167842,1.860883773,1.889315472,1.675404021,1.675677052,,2.268870137,3.020061082,1.23219874,1.38841532,0.009077806
179,2,1.853127784,1.835779228,1.864176187,1.650947474,1.65113755,,2.246633877,2.993840323,1.211107006,1.354312884,0.0084813
180,1,1.828552271,1.811143814,1.839502669,1.626971718,1.627080828,,2.224737611,2.967991399,1.190468038,1.321085041,0.007923991
181,1,1.804430286,1.786966355,1.815283882,1.603464899,1.603494985,,2.203174294,2.942507016,1.170270088,1.288708097,0.007403303
182,1,1.780751128,1.763235996,1.79150911,1.58041551,1.580368471,,2.181937067,2.917380062,1.15050177,1.257159045,0.00691683
183,1,1.757504405,1.739942196,1.76816794,1.557812386,1.557690075,,2.161019246,2.892603599,1.131152044,1.226415544,0.006462322
184,1,1.73468002,1.717074713,1.745250259,1.535644688,1.535448916,,2.140414322,2.868170865,1.1122102,1.196455898,0.006037681
185,1,1.712268163,1.6946236,1.722746239,1.513901894,1.513634431,,2.120115952,2.84407526,1.093665853,1.167259034,0.005640943
186,3,1.690259301,1.672579188,1.700646331,1.492573784,1.49223636,,2.100117954,2.820310349,1.075508927,1.138804487,0.005270275
187,1,1.668644168,1.650932083,1.678941253,1.471650438,1.471244742,,2.080414304,2.796869851,1.057729648,1.111072375,0.004923963
188,2,1.647413758,1.629673154,1.657621982,1.451122218,1.450649902,,2.06099913,2.773747637,1.04031853,1.084043387,0.004600408
189,1,1.626559315,1.608793523,1.636679746,1.430979761,1.430442438,,2.041866708,2.750937729,1.023266368,1.05769876,0.004298114
190,3,1.606072326,1.588284561,1.616106017,1.411213972,1.410613219,,2.023011457,2.728434287,1.006564226,1.032020268,0.004015683
191,2,1.585944511,1.568137875,1.595892499,1.391816014,1.391153371,,2.004427933,2.706231615,0.990203432,1.006990198,0.003751811
192,2,1.566167819,1.548345304,1.576031124,1.372777296,1.37205427,,1.98611083,2.684324148,0.974175564,0.982591342,0.003505279
193,2,1.546734415,1.52889891,1.556514045,1.354089472,1.353307533,,1.968054968,2.662706455,0.958472444,0.958806975,0.003274946
194,2,1.52763668,1.50979097,1.537333626,1.335744425,1.334905013,,1.950255298,2.641373231,0.943086132,0.935620847,0.003059748
195,0,1.508867199,1.49101397,1.518482439,1.317734266,1.316838786,,1.932706893,2.620319295,0.928008914,0.91301716,0.002858691
196,3,1.490418757,1.472560601,1.499953253,1.300051323,1.299101149,,1.915404942,2.599539586,0.913233298,0.890980563,0.002670845
197,2,1.472284329,1.454423748,1.481739031,1.282688136,1.281684611,,1.898344755,2.579029161,0.898752004,0.869496134,0.002495343
198,1,1.454457082,1.436596485,1.463832924,1.265637448,1.264581885,,1.881521752,2.55878319,0.884557959,0.848549366,0.002331373
199,1,1.436930359,1.419072071,1.446228263,1.2488922,1.247785882,,1.864931461,2.538796952,0.87064429,0.828126159,0.002178178
200,0,1.41969768,1.401843944,1.428918555,1.232445526,1.231289707,,1.848569519,2.519065836,0.857004316,0.808212802,0.002035049
201,3,1.402752737,1.384905714,1.411897477,1.216290744,1.21508665,,1.832431664,2.499585334,0.843631545,0.788795966,0.001901325
202,0,1.386089384,1.368251158,1.395158871,1.200421352,1.199170181,,1.816513735,2.480351039,0.830519663,0.769862693,0.001776389
203,0,1.369701636,1.351874214,1.37869674,1.184831021,1.183533946,,1.800811668,2.461358643,0.817662532,0.751400379,0.001659662
204,3,1.353583661,1.335768981,1.362505238,1.169513592,1.168171758,,1.785321494,2.442603936,0.805054185,0.733396772,0.001550605
205,4,1.337729779,1.319929705,1.346578674,1.15446307,1.153077596,,1.770039337,2.424082799,0.792688817,0.715839954,0.001448714
206,0,1.322134455,1.304350785,1.330911501,1.139673615,1.138245597,,1.754961407,2.405791204,0.780560784,0.698718334,0.001353519
207,0,1.306792295,1.28902676,1.315498311,1.125139544,1.123670052,,1.740084005,2.387725215,0.768664595,0.682020643,0.001264578
208,2,1.291698041,1.273952309,1.300333836,1.11085532,1.109345402,,1.725403513,2.369880977,0.756994906,0.665735915,0.001181483
209,0,1.276846569,1.259122247,1.28541294,1.096815553,1.09526623,,1.710916399,2.352254723,0.745546521,0.649853487,0.001103847
210,0,1.262232883,1.244531517,1.270730617,1.083014989,1.081427264,,1.696619206,2.334842766,0.734314383,0.634362985,0.001031313
211,1,1.247852112,1.230175192,1.256281983,1.069448513,1.067823363,,1.682508559,2.317641499,0.723293568,0.619254319,0.000963545
212,1,1.233699508,1.216048467,1.24206228,1.056111139,1.054449521,,1.668581157,2.300647391,0.712479286,0.604517669,0.00090023
